path	class	bytes	mtime_utc	identity_kind	identity
.omo/ulw-research/20260809-065345/wave-4-apple-silicon-runtime.md	research-artifact	5085	2026-08-08T22:44:01Z	sha256	b030341f2b4feba18615f9eb8ceaf827a0e00e046747dafbb23de993f8e39642
.omo/ulw-research/20260809-205918/brief.md	research-artifact	5974	2026-08-09T12:02:29Z	sha256	3f95d4dce9104d63c5e21618a59064937e57c3e9926d6fde13249fe7b8bfeeac
.omo/ulw-research/20260809-205918/cause-disappearance.md	research-artifact	214	2026-08-09T12:00:53Z	sha256	5b01cd28336b060841cc84225a0d03587dbb1544fc525b6f68ff613862c0ae4c
.omo/ulw-research/20260809-205918/claim-graph.md	research-artifact	11598	2026-08-09T12:52:32Z	size+mtime(dataless)	bytes=11598;mtime=2026-08-09T12:52:32Z
.omo/ulw-research/20260809-205918/debate-log.md	research-artifact	5954	2026-08-09T12:45:17Z	sha256	1e8b8e34f6e8bce9fbf38e09f6f8c90786a2f5dd481d4eb1ead5449d264839d3
.omo/ulw-research/20260809-205918/design-spec.md	research-artifact	1674	2026-08-09T12:02:29Z	sha256	c9b2692af6312df35d7055f47d4b008232237e35682f4e9b9db4b6b702162410
.omo/ulw-research/20260809-205918/excursion-log.md	research-artifact	187	2026-08-09T12:00:53Z	sha256	cc12def0b0d2dee7d2aac0a23796fa5f8e43d7a111c7798582184faa8381f238
.omo/ulw-research/20260809-205918/executive-deck/.slides-grab/design-gate-report.md	research-artifact	5495	2026-08-09T12:59:15Z	sha256	30b2aaef8076c6ec4058a434eb3f3934af59e57b82bc6fdb918c87fb7c5858af
.omo/ulw-research/20260809-205918/executive-deck/.slides-grab/design-gate.json	research-artifact	14355	2026-08-09T12:59:15Z	size+mtime(dataless)	bytes=14355;mtime=2026-08-09T12:59:15Z
.omo/ulw-research/20260809-205918/executive-deck/contact-sheet-720.png	research-artifact	522207	2026-08-09T12:30:32Z	size+mtime(dataless)	bytes=522207;mtime=2026-08-09T12:30:32Z
.omo/ulw-research/20260809-205918/executive-deck/contact-sheet-final.png	research-artifact	468655	2026-08-09T12:53:30Z	size+mtime(dataless)	bytes=468655;mtime=2026-08-09T12:53:30Z
.omo/ulw-research/20260809-205918/executive-deck/contact-sheet.png	research-artifact	490821	2026-08-09T12:28:24Z	sha256	70da62ee86c760346c15f241c4bc7e6e24db38d9a4da38c29ee7cef34fe6349d
.omo/ulw-research/20260809-205918/executive-deck/deck.css	research-artifact	10825	2026-08-09T12:57:05Z	size+mtime(dataless)	bytes=10825;mtime=2026-08-09T12:57:05Z
